"No.","Time","Source","Destination","Protocol","Length","Info"
"38","0.232659","192.138.2.3","192.138.1.3","TCP","590","49153  >  2400 [ACK] Seq=11681 Ack=1 Win=131072 Len=536 TSval=2233 TSecr=2163"
"39","0.232841","192.138.2.3","192.138.1.3","TCP","590","49153  >  2400 [ACK] Seq=12217 Ack=1 Win=131072 Len=536 TSval=2233 TSecr=2163"
"40","0.233049","192.138.2.3","192.138.1.3","TCP","590","49153  >  2400 [ACK] Seq=12753 Ack=1 Win=131072 Len=536 TSval=2233 TSecr=2163"
"41","0.233136","192.138.2.3","192.138.1.3","TCP","266","49153  >  2400 [ACK] Seq=13289 Ack=1 Win=131072 Len=212 TSval=2233 TSecr=2163"
"45","0.303587","192.138.2.3","192.138.1.3","TCP","590","49153  >  2400 [ACK] Seq=13501 Ack=1 Win=131072 Len=536 TSval=2305 TSecr=2235"
"46","0.303770","192.138.2.3","192.138.1.3","TCP","590","49153  >  2400 [ACK] Seq=14037 Ack=1 Win=131072 Len=536 TSval=2305 TSecr=2235"
"47","0.303959","192.138.2.3","192.138.1.3","TCP","590","49153  >  2400 [ACK] Seq=14573 Ack=1 Win=131072 Len=536 TSval=2305 TSecr=2235"
"49","0.304146","192.138.2.3","192.138.1.3","TCP","590","49153  >  2400 [ACK] Seq=15109 Ack=1 Win=131072 Len=536 TSval=2305 TSecr=2235"
"50","0.304346","192.138.2.3","192.138.1.3","TCP","590","49153  >  2400 [ACK] Seq=15645 Ack=1 Win=131072 Len=536 TSval=2305 TSecr=2235"
"51","0.304550","192.138.2.3","192.138.1.3","TCP","590","49153  >  2400 [ACK] Seq=16181 Ack=1 Win=131072 Len=536 TSval=2305 TSecr=2235"
"53","0.304745","192.138.2.3","192.138.1.3","TCP","590","49153  >  2400 [ACK] Seq=16717 Ack=1 Win=131072 Len=536 TSval=2305 TSecr=2235"
"54","0.304955","192.138.2.3","192.138.1.3","TCP","590","49153  >  2400 [ACK] Seq=17253 Ack=1 Win=131072 Len=536 TSval=2305 TSecr=2235"
"55","0.305037","192.138.2.3","192.138.1.3","TCP","266","49153  >  2400 [ACK] Seq=17789 Ack=1 Win=131072 Len=212 TSval=2305 TSecr=2235"
"58","0.375587","192.138.2.3","192.138.1.3","TCP","590","49153  >  2400 [ACK] Seq=18001 Ack=1 Win=131072 Len=536 TSval=2377 TSecr=2307"
"59","0.375774","192.138.2.3","192.138.1.3","TCP","590","49153  >  2400 [ACK] Seq=18537 Ack=1 Win=131072 Len=536 TSval=2377 TSecr=2307"
"60","0.375959","192.138.2.3","192.138.1.3","TCP","590","49153  >  2400 [ACK] Seq=19073 Ack=1 Win=131072 Len=536 TSval=2377 TSecr=2307"
"61","0.376158","192.138.2.3","192.138.1.3","TCP","590","49153  >  2400 [ACK] Seq=19609 Ack=1 Win=131072 Len=536 TSval=2377 TSecr=2307"
"62","0.376341","192.138.2.3","192.138.1.3","TCP","590","49153  >  2400 [ACK] Seq=20145 Ack=1 Win=131072 Len=536 TSval=2377 TSecr=2307"
"63","0.376528","192.138.2.3","192.138.1.3","TCP","590","49153  >  2400 [ACK] Seq=20681 Ack=1 Win=131072 Len=536 TSval=2377 TSecr=2307"
"64","0.376714","192.138.2.3","192.138.1.3","TCP","590","49153  >  2400 [ACK] Seq=21217 Ack=1 Win=131072 Len=536 TSval=2377 TSecr=2307"
"65","0.376907","192.138.2.3","192.138.1.3","TCP","590","49153  >  2400 [ACK] Seq=21753 Ack=1 Win=131072 Len=536 TSval=2377 TSecr=2307"
"66","0.376994","192.138.2.3","192.138.1.3","TCP","266","49153  >  2400 [ACK] Seq=22289 Ack=1 Win=131072 Len=212 TSval=2377 TSecr=2307"
"72","0.447587","192.138.2.3","192.138.1.3","TCP","590","49153  >  2400 [ACK] Seq=22501 Ack=1 Win=131072 Len=536 TSval=2449 TSecr=2379"
"73","0.447802","192.138.2.3","192.138.1.3","TCP","590","49153  >  2400 [ACK] Seq=23037 Ack=1 Win=131072 Len=536 TSval=2449 TSecr=2379"
"74","0.448013","192.138.2.3","192.138.1.3","TCP","590","49153  >  2400 [ACK] Seq=23573 Ack=1 Win=131072 Len=536 TSval=2449 TSecr=2379"
"76","0.448213","192.138.2.3","192.138.1.3","TCP","590","49153  >  2400 [ACK] Seq=24109 Ack=1 Win=131072 Len=536 TSval=2449 TSecr=2379"
"77","0.448401","192.138.2.3","192.138.1.3","TCP","590","49153  >  2400 [ACK] Seq=24645 Ack=1 Win=131072 Len=536 TSval=2449 TSecr=2379"
"78","0.448582","192.138.2.3","192.138.1.3","TCP","590","49153  >  2400 [ACK] Seq=25181 Ack=1 Win=131072 Len=536 TSval=2449 TSecr=2379"
"79","0.448781","192.138.2.3","192.138.1.3","TCP","590","49153  >  2400 [ACK] Seq=25717 Ack=1 Win=131072 Len=536 TSval=2449 TSecr=2379"
"80","0.448978","192.138.2.3","192.138.1.3","TCP","590","49153  >  2400 [ACK] Seq=26253 Ack=1 Win=131072 Len=536 TSval=2449 TSecr=2379"
"81","0.449042","192.138.2.3","192.138.1.3","TCP","266","49153  >  2400 [ACK] Seq=26789 Ack=1 Win=131072 Len=212 TSval=2449 TSecr=2379"
"85","0.519587","192.138.2.3","192.138.1.3","TCP","590","49153  >  2400 [ACK] Seq=27001 Ack=1 Win=131072 Len=536 TSval=2521 TSecr=2451"
"86","0.519770","192.138.2.3","192.138.1.3","TCP","590","49153  >  2400 [ACK] Seq=27537 Ack=1 Win=131072 Len=536 TSval=2521 TSecr=2451"
"88","0.519953","192.138.2.3","192.138.1.3","TCP","590","49153  >  2400 [ACK] Seq=28073 Ack=1 Win=131072 Len=536 TSval=2521 TSecr=2451"
"89","0.520148","192.138.2.3","192.138.1.3","TCP","590","49153  >  2400 [ACK] Seq=28609 Ack=1 Win=131072 Len=536 TSval=2521 TSecr=2451"
"90","0.520339","192.138.2.3","192.138.1.3","TCP","590","49153  >  2400 [ACK] Seq=29145 Ack=1 Win=131072 Len=536 TSval=2521 TSecr=2451"
"92","0.520539","192.138.2.3","192.138.1.3","TCP","590","49153  >  2400 [ACK] Seq=29681 Ack=1 Win=131072 Len=536 TSval=2521 TSecr=2451"
"93","0.520737","192.138.2.3","192.138.1.3","TCP","590","49153  >  2400 [ACK] Seq=30217 Ack=1 Win=131072 Len=536 TSval=2521 TSecr=2451"
"94","0.520926","192.138.2.3","192.138.1.3","TCP","590","49153  >  2400 [ACK] Seq=30753 Ack=1 Win=131072 Len=536 TSval=2521 TSecr=2451"
"96","0.521013","192.138.2.3","192.138.1.3","TCP","266","49153  >  2400 [ACK] Seq=31289 Ack=1 Win=131072 Len=212 TSval=2521 TSecr=2451"
"99","0.591587","192.138.2.3","192.138.1.3","TCP","590","49153  >  2400 [ACK] Seq=31501 Ack=1 Win=131072 Len=536 TSval=2593 TSecr=2523"
"100","0.591772","192.138.2.3","192.138.1.3","TCP","590","49153  >  2400 [ACK] Seq=32037 Ack=1 Win=131072 Len=536 TSval=2593 TSecr=2523"
"101","0.591974","192.138.2.3","192.138.1.3","TCP","590","49153  >  2400 [ACK] Seq=32573 Ack=1 Win=131072 Len=536 TSval=2593 TSecr=2523"
"103","0.592186","192.138.2.3","192.138.1.3","TCP","590","49153  >  2400 [ACK] Seq=33109 Ack=1 Win=131072 Len=536 TSval=2593 TSecr=2523"
"104","0.592433","192.138.2.3","192.138.1.3","TCP","590","49153  >  2400 [ACK] Seq=33645 Ack=1 Win=131072 Len=536 TSval=2593 TSecr=2523"
"106","0.592647","192.138.2.3","192.138.1.3","TCP","590","49153  >  2400 [ACK] Seq=34181 Ack=1 Win=131072 Len=536 TSval=2593 TSecr=2523"
"107","0.592920","192.138.2.3","192.138.1.3","TCP","590","49153  >  2400 [ACK] Seq=34717 Ack=1 Win=131072 Len=536 TSval=2593 TSecr=2523"
"109","0.593121","192.138.2.3","192.138.1.3","TCP","590","49153  >  2400 [ACK] Seq=35253 Ack=1 Win=131072 Len=536 TSval=2593 TSecr=2523"
"110","0.593184","192.138.2.3","192.138.1.3","TCP","266","49153  >  2400 [ACK] Seq=35789 Ack=1 Win=131072 Len=212 TSval=2593 TSecr=2523"
"112","0.663587","192.138.2.3","192.138.1.3","TCP","590","49153  >  2400 [ACK] Seq=36001 Ack=1 Win=131072 Len=536 TSval=2665 TSecr=2595"
"113","0.663787","192.138.2.3","192.138.1.3","TCP","590","49153  >  2400 [ACK] Seq=36537 Ack=1 Win=131072 Len=536 TSval=2665 TSecr=2595"
"115","0.663977","192.138.2.3","192.138.1.3","TCP","590","49153  >  2400 [ACK] Seq=37073 Ack=1 Win=131072 Len=536 TSval=2665 TSecr=2595"
"116","0.664213","192.138.2.3","192.138.1.3","TCP","590","49153  >  2400 [ACK] Seq=37609 Ack=1 Win=131072 Len=536 TSval=2665 TSecr=2595"
"118","0.664432","192.138.2.3","192.138.1.3","TCP","590","49153  >  2400 [ACK] Seq=38145 Ack=1 Win=131072 Len=536 TSval=2665 TSecr=2595"
"119","0.664697","192.138.2.3","192.138.1.3","TCP","590","49153  >  2400 [ACK] Seq=38681 Ack=1 Win=131072 Len=536 TSval=2665 TSecr=2595"
"120","0.664899","192.138.2.3","192.138.1.3","TCP","590","49153  >  2400 [ACK] Seq=39217 Ack=1 Win=131072 Len=536 TSval=2665 TSecr=2595"
"122","0.665126","192.138.2.3","192.138.1.3","TCP","590","49153  >  2400 [ACK] Seq=39753 Ack=1 Win=131072 Len=536 TSval=2665 TSecr=2595"
"123","0.665237","192.138.2.3","192.138.1.3","TCP","266","49153  >  2400 [ACK] Seq=40289 Ack=1 Win=131072 Len=212 TSval=2665 TSecr=2595"
"126","0.735587","192.138.2.3","192.138.1.3","TCP","590","49153  >  2400 [ACK] Seq=40501 Ack=1 Win=131072 Len=536 TSval=2737 TSecr=2667"
"127","0.735769","192.138.2.3","192.138.1.3","TCP","590","49153  >  2400 [ACK] Seq=41037 Ack=1 Win=131072 Len=536 TSval=2737 TSecr=2667"
"128","0.735957","192.138.2.3","192.138.1.3","TCP","590","49153  >  2400 [ACK] Seq=41573 Ack=1 Win=131072 Len=536 TSval=2737 TSecr=2667"
"130","0.736146","192.138.2.3","192.138.1.3","TCP","590","49153  >  2400 [ACK] Seq=42109 Ack=1 Win=131072 Len=536 TSval=2737 TSecr=2667"
"131","0.736334","192.138.2.3","192.138.1.3","TCP","590","49153  >  2400 [ACK] Seq=42645 Ack=1 Win=131072 Len=536 TSval=2737 TSecr=2667"
"132","0.736527","192.138.2.3","192.138.1.3","TCP","590","49153  >  2400 [ACK] Seq=43181 Ack=1 Win=131072 Len=536 TSval=2737 TSecr=2667"
"134","0.736709","192.138.2.3","192.138.1.3","TCP","590","49153  >  2400 [ACK] Seq=43717 Ack=1 Win=131072 Len=536 TSval=2737 TSecr=2667"
"135","0.736891","192.138.2.3","192.138.1.3","TCP","590","49153  >  2400 [ACK] Seq=44253 Ack=1 Win=131072 Len=536 TSval=2737 TSecr=2667"
"136","0.736957","192.138.2.3","192.138.1.3","TCP","266","49153  >  2400 [ACK] Seq=44789 Ack=1 Win=131072 Len=212 TSval=2737 TSecr=2667"
"139","0.807587","192.138.2.3","192.138.1.3","TCP","590","49153  >  2400 [ACK] Seq=45001 Ack=1 Win=131072 Len=536 TSval=2809 TSecr=2739"
"140","0.807772","192.138.2.3","192.138.1.3","TCP","590","49153  >  2400 [ACK] Seq=45537 Ack=1 Win=131072 Len=536 TSval=2809 TSecr=2739"
"141","0.807972","192.138.2.3","192.138.1.3","TCP","590","49153  >  2400 [ACK] Seq=46073 Ack=1 Win=131072 Len=536 TSval=2809 TSecr=2739"
"142","0.808155","192.138.2.3","192.138.1.3","TCP","590","49153  >  2400 [ACK] Seq=46609 Ack=1 Win=131072 Len=536 TSval=2809 TSecr=2739"
"143","0.808350","192.138.2.3","192.138.1.3","TCP","590","49153  >  2400 [ACK] Seq=47145 Ack=1 Win=131072 Len=536 TSval=2809 TSecr=2739"
"144","0.808549","192.138.2.3","192.138.1.3","TCP","590","49153  >  2400 [ACK] Seq=47681 Ack=1 Win=131072 Len=536 TSval=2809 TSecr=2739"
"145","0.808732","192.138.2.3","192.138.1.3","TCP","590","49153  >  2400 [ACK] Seq=48217 Ack=1 Win=131072 Len=536 TSval=2809 TSecr=2739"
"146","0.808938","192.138.2.3","192.138.1.3","TCP","590","49153  >  2400 [ACK] Seq=48753 Ack=1 Win=131072 Len=536 TSval=2809 TSecr=2739"
"147","0.809004","192.138.2.3","192.138.1.3","TCP","266","49153  >  2400 [ACK] Seq=49289 Ack=1 Win=131072 Len=212 TSval=2809 TSecr=2739"
"153","0.879587","192.138.2.3","192.138.1.3","TCP","590","49153  >  2400 [ACK] Seq=49501 Ack=1 Win=131072 Len=536 TSval=2881 TSecr=2811"
"154","0.879769","192.138.2.3","192.138.1.3","TCP","590","49153  >  2400 [ACK] Seq=50037 Ack=1 Win=131072 Len=536 TSval=2881 TSecr=2811"
"155","0.879956","192.138.2.3","192.138.1.3","TCP","590","49153  >  2400 [ACK] Seq=50573 Ack=1 Win=131072 Len=536 TSval=2881 TSecr=2811"
"157","0.880142","192.138.2.3","192.138.1.3","TCP","590","49153  >  2400 [ACK] Seq=51109 Ack=1 Win=131072 Len=536 TSval=2881 TSecr=2811"
"158","0.880325","192.138.2.3","192.138.1.3","TCP","590","49153  >  2400 [ACK] Seq=51645 Ack=1 Win=131072 Len=536 TSval=2881 TSecr=2811"
"159","0.880506","192.138.2.3","192.138.1.3","TCP","590","49153  >  2400 [ACK] Seq=52181 Ack=1 Win=131072 Len=536 TSval=2881 TSecr=2811"
"161","0.880699","192.138.2.3","192.138.1.3","TCP","590","49153  >  2400 [ACK] Seq=52717 Ack=1 Win=131072 Len=536 TSval=2881 TSecr=2811"
"162","0.880906","192.138.2.3","192.138.1.3","TCP","590","49153  >  2400 [ACK] Seq=53253 Ack=1 Win=131072 Len=536 TSval=2881 TSecr=2811"
"163","0.881010","192.138.2.3","192.138.1.3","TCP","266","49153  >  2400 [ACK] Seq=53789 Ack=1 Win=131072 Len=212 TSval=2881 TSecr=2811"
"166","0.951587","192.138.2.3","192.138.1.3","TCP","590","49153  >  2400 [ACK] Seq=54001 Ack=1 Win=131072 Len=536 TSval=2953 TSecr=2883"
"167","0.951772","192.138.2.3","192.138.1.3","TCP","590","49153  >  2400 [ACK] Seq=54537 Ack=1 Win=131072 Len=536 TSval=2953 TSecr=2883"
"169","0.951977","192.138.2.3","192.138.1.3","TCP","590","49153  >  2400 [ACK] Seq=55073 Ack=1 Win=131072 Len=536 TSval=2953 TSecr=2883"
"170","0.952223","192.138.2.3","192.138.1.3","TCP","590","49153  >  2400 [ACK] Seq=55609 Ack=1 Win=131072 Len=536 TSval=2953 TSecr=2883"
"172","0.952406","192.138.2.3","192.138.1.3","TCP","590","49153  >  2400 [ACK] Seq=56145 Ack=1 Win=131072 Len=536 TSval=2953 TSecr=2883"
"173","0.952601","192.138.2.3","192.138.1.3","TCP","590","49153  >  2400 [ACK] Seq=56681 Ack=1 Win=131072 Len=536 TSval=2953 TSecr=2883"
"174","0.952784","192.138.2.3","192.138.1.3","TCP","590","49153  >  2400 [ACK] Seq=57217 Ack=1 Win=131072 Len=536 TSval=2953 TSecr=2883"
"176","0.952981","192.138.2.3","192.138.1.3","TCP","590","49153  >  2400 [ACK] Seq=57753 Ack=1 Win=131072 Len=536 TSval=2953 TSecr=2883"
"177","0.953049","192.138.2.3","192.138.1.3","TCP","266","49153  >  2400 [ACK] Seq=58289 Ack=1 Win=131072 Len=212 TSval=2953 TSecr=2883"
"180","1.023589","192.138.2.3","192.138.1.3","TCP","590","49153  >  2400 [ACK] Seq=58501 Ack=1 Win=131072 Len=536 TSval=3025 TSecr=2955"
"181","1.023776","192.138.2.3","192.138.1.3","TCP","590","49153  >  2400 [ACK] Seq=59037 Ack=1 Win=131072 Len=536 TSval=3025 TSecr=2955"
"182","1.023963","192.138.2.3","192.138.1.3","TCP","590","49153  >  2400 [ACK] Seq=59573 Ack=1 Win=131072 Len=536 TSval=3025 TSecr=2955"
"184","1.024159","192.138.2.3","192.138.1.3","TCP","590","49153  >  2400 [ACK] Seq=60109 Ack=1 Win=131072 Len=536 TSval=3025 TSecr=2955"
"185","1.024360","192.138.2.3","192.138.1.3","TCP","590","49153  >  2400 [ACK] Seq=60645 Ack=1 Win=131072 Len=536 TSval=3025 TSecr=2955"
"186","1.024543","192.138.2.3","192.138.1.3","TCP","590","49153  >  2400 [ACK] Seq=61181 Ack=1 Win=131072 Len=536 TSval=3025 TSecr=2955"
"187","1.024730","192.138.2.3","192.138.1.3","TCP","590","49153  >  2400 [ACK] Seq=61717 Ack=1 Win=131072 Len=536 TSval=3025 TSecr=2955"
"188","1.024912","192.138.2.3","192.138.1.3","TCP","590","49153  >  2400 [ACK] Seq=62253 Ack=1 Win=131072 Len=536 TSval=3025 TSecr=2955"
"189","1.024982","192.138.2.3","192.138.1.3","TCP","266","49153  >  2400 [ACK] Seq=62789 Ack=1 Win=131072 Len=212 TSval=3025 TSecr=2955"
"193","1.095589","192.138.2.3","192.138.1.3","TCP","590","49153  >  2400 [ACK] Seq=63001 Ack=1 Win=131072 Len=536 TSval=3097 TSecr=3027"
"194","1.095772","192.138.2.3","192.138.1.3","TCP","590","49153  >  2400 [ACK] Seq=63537 Ack=1 Win=131072 Len=536 TSval=3097 TSecr=3027"
"195","1.095959","192.138.2.3","192.138.1.3","TCP","590","49153  >  2400 [ACK] Seq=64073 Ack=1 Win=131072 Len=536 TSval=3097 TSecr=3027"
"196","1.096192","192.138.2.3","192.138.1.3","TCP","590","49153  >  2400 [ACK] Seq=64609 Ack=1 Win=131072 Len=536 TSval=3097 TSecr=3027"
"197","1.096391","192.138.2.3","192.138.1.3","TCP","590","49153  >  2400 [ACK] Seq=65145 Ack=1 Win=131072 Len=536 TSval=3097 TSecr=3027"
"198","1.096573","192.138.2.3","192.138.1.3","TCP","590","49153  >  2400 [ACK] Seq=65681 Ack=1 Win=131072 Len=536 TSval=3097 TSecr=3027"
"199","1.096755","192.138.2.3","192.138.1.3","TCP","590","49153  >  2400 [ACK] Seq=66217 Ack=1 Win=131072 Len=536 TSval=3097 TSecr=3027"
"200","1.096940","192.138.2.3","192.138.1.3","TCP","590","49153  >  2400 [ACK] Seq=66753 Ack=1 Win=131072 Len=536 TSval=3097 TSecr=3027"
"201","1.097003","192.138.2.3","192.138.1.3","TCP","266","49153  >  2400 [ACK] Seq=67289 Ack=1 Win=131072 Len=212 TSval=3097 TSecr=3027"
"207","1.167589","192.138.2.3","192.138.1.3","TCP","590","49153  >  2400 [ACK] Seq=67501 Ack=1 Win=131072 Len=536 TSval=3169 TSecr=3099"
"208","1.167772","192.138.2.3","192.138.1.3","TCP","590","49153  >  2400 [ACK] Seq=68037 Ack=1 Win=131072 Len=536 TSval=3169 TSecr=3099"
"209","1.167955","192.138.2.3","192.138.1.3","TCP","590","49153  >  2400 [ACK] Seq=68573 Ack=1 Win=131072 Len=536 TSval=3169 TSecr=3099"
"210","1.168139","192.138.2.3","192.138.1.3","TCP","590","49153  >  2400 [ACK] Seq=69109 Ack=1 Win=131072 Len=536 TSval=3169 TSecr=3099"
"211","1.168324","192.138.2.3","192.138.1.3","TCP","590","49153  >  2400 [ACK] Seq=69645 Ack=1 Win=131072 Len=536 TSval=3169 TSecr=3099"
"212","1.168512","192.138.2.3","192.138.1.3","TCP","590","49153  >  2400 [ACK] Seq=70181 Ack=1 Win=131072 Len=536 TSval=3169 TSecr=3099"
"213","1.168696","192.138.2.3","192.138.1.3","TCP","590","49153  >  2400 [ACK] Seq=70717 Ack=1 Win=131072 Len=536 TSval=3169 TSecr=3099"
"214","1.168878","192.138.2.3","192.138.1.3","TCP","590","49153  >  2400 [ACK] Seq=71253 Ack=1 Win=131072 Len=536 TSval=3169 TSecr=3099"
"215","1.168961","192.138.2.3","192.138.1.3","TCP","266","49153  >  2400 [ACK] Seq=71789 Ack=1 Win=131072 Len=212 TSval=3169 TSecr=3099"
"220","1.239589","192.138.2.3","192.138.1.3","TCP","590","49153  >  2400 [ACK] Seq=72001 Ack=1 Win=131072 Len=536 TSval=3241 TSecr=3171"
"221","1.239790","192.138.2.3","192.138.1.3","TCP","590","49153  >  2400 [ACK] Seq=72537 Ack=1 Win=131072 Len=536 TSval=3241 TSecr=3171"
"223","1.239978","192.138.2.3","192.138.1.3","TCP","590","49153  >  2400 [ACK] Seq=73073 Ack=1 Win=131072 Len=536 TSval=3241 TSecr=3171"
"224","1.240160","192.138.2.3","192.138.1.3","TCP","590","49153  >  2400 [ACK] Seq=73609 Ack=1 Win=131072 Len=536 TSval=3241 TSecr=3171"
"225","1.240344","192.138.2.3","192.138.1.3","TCP","590","49153  >  2400 [ACK] Seq=74145 Ack=1 Win=131072 Len=536 TSval=3241 TSecr=3171"
"227","1.240774","192.138.2.3","192.138.1.3","TCP","590","49153  >  2400 [ACK] Seq=74681 Ack=1 Win=131072 Len=536 TSval=3241 TSecr=3171"
"229","1.240957","192.138.2.3","192.138.1.3","TCP","590","49153  >  2400 [ACK] Seq=75217 Ack=1 Win=131072 Len=536 TSval=3241 TSecr=3171"
"230","1.241248","192.138.2.3","192.138.1.3","TCP","590","49153  >  2400 [ACK] Seq=75753 Ack=1 Win=131072 Len=536 TSval=3241 TSecr=3171"
"232","1.241323","192.138.2.3","192.138.1.3","TCP","266","49153  >  2400 [ACK] Seq=76289 Ack=1 Win=131072 Len=212 TSval=3241 TSecr=3171"
"234","1.311589","192.138.2.3","192.138.1.3","TCP","590","49153  >  2400 [ACK] Seq=76501 Ack=1 Win=131072 Len=536 TSval=3313 TSecr=3243"
"235","1.311772","192.138.2.3","192.138.1.3","TCP","590","49153  >  2400 [ACK] Seq=77037 Ack=1 Win=131072 Len=536 TSval=3313 TSecr=3243"
"236","1.311961","192.138.2.3","192.138.1.3","TCP","590","49153  >  2400 [ACK] Seq=77573 Ack=1 Win=131072 Len=536 TSval=3313 TSecr=3243"
"237","1.312156","192.138.2.3","192.138.1.3","TCP","590","49153  >  2400 [ACK] Seq=78109 Ack=1 Win=131072 Len=536 TSval=3313 TSecr=3243"
"238","1.312355","192.138.2.3","192.138.1.3","TCP","590","49153  >  2400 [ACK] Seq=78645 Ack=1 Win=131072 Len=536 TSval=3313 TSecr=3243"
"239","1.312539","192.138.2.3","192.138.1.3","TCP","590","49153  >  2400 [ACK] Seq=79181 Ack=1 Win=131072 Len=536 TSval=3313 TSecr=3243"
"240","1.312726","192.138.2.3","192.138.1.3","TCP","590","49153  >  2400 [ACK] Seq=79717 Ack=1 Win=131072 Len=536 TSval=3313 TSecr=3243"
"241","1.312911","192.138.2.3","192.138.1.3","TCP","590","49153  >  2400 [ACK] Seq=80253 Ack=1 Win=131072 Len=536 TSval=3313 TSecr=3243"
"242","1.312974","192.138.2.3","192.138.1.3","TCP","266","49153  >  2400 [ACK] Seq=80789 Ack=1 Win=131072 Len=212 TSval=3313 TSecr=3243"
"247","1.383589","192.138.2.3","192.138.1.3","TCP","590","49153  >  2400 [ACK] Seq=81001 Ack=1 Win=131072 Len=536 TSval=3385 TSecr=3315"
"248","1.383771","192.138.2.3","192.138.1.3","TCP","590","49153  >  2400 [ACK] Seq=81537 Ack=1 Win=131072 Len=536 TSval=3385 TSecr=3315"
"250","1.383957","192.138.2.3","192.138.1.3","TCP","590","49153  >  2400 [ACK] Seq=82073 Ack=1 Win=131072 Len=536 TSval=3385 TSecr=3315"
"251","1.384149","192.138.2.3","192.138.1.3","TCP","590","49153  >  2400 [ACK] Seq=82609 Ack=1 Win=131072 Len=536 TSval=3385 TSecr=3315"
